,transaction_id,person_id,item,quantity,price_per_unit,total_price,receipt_total,store,city,country
0,0,854,Krafty Cheddar,1,5.0,5.0,17.0,Trader Tales,San Diego,USA
1,0,854,Popsi,1,4.0,4.0,17.0,Trader Tales,San Diego,USA
2,0,854,Oreoz,2,4.0,8.0,17.0,Trader Tales,San Diego,USA
3,1,341,Colgatex,1,2.0,2.0,2.0,PetPals Mart,San Diego,USA
4,2,15,Colgatex,1,3.0,3.0,16.0,Trader Tales,New York,USA
5,2,15,Dovee,1,2.0,2.0,16.0,Trader Tales,New York,USA
6,2,15,Flixnet,1,11.0,11.0,16.0,Trader Tales,New York,USA
7,3,371,Krafty Cheddar,2,4.0,8.0,13.0,Urban Outfitters Loft,Los Angeles,USA
8,3,371,RedCow,1,3.0,3.0,13.0,Urban Outfitters Loft,Los Angeles,USA
9,3,371,Dovee,2,1.0,2.0,13.0,Urban Outfitters Loft,Los Angeles,USA
10,4,480,Popsi,1,3.0,3.0,13.0,PetPals Mart,Los Angeles,USA
11,4,480,Flixnet,1,10.0,10.0,13.0,PetPals Mart,Los Angeles,USA
12,5,850,Popsi,1,3.0,3.0,7.0,Urban Outfitters Loft,Chicago,USA
13,5,850,KittyKat,2,2.0,4.0,7.0,Urban Outfitters Loft,Chicago,USA
14,6,564,Flixnet,1,11.0,11.0,17.0,BestChoice Buy,Chicago,USA
15,6,564,Colgatex,2,3.0,6.0,17.0,BestChoice Buy,Chicago,USA
16,7,297,KittyKat,2,4.0,8.0,22.0,SparkMart,San Diego,USA
17,7,297,RedCow,1,5.0,5.0,22.0,SparkMart,San Diego,USA
18,7,297,Dovee,3,3.0,9.0,22.0,SparkMart,San Diego,USA
19,8,305,Colgatex,1,4.0,4.0,13.0,SparkMart,San Francisco,USA
20,8,305,RedCow,1,5.0,5.0,13.0,SparkMart,San Francisco,USA
21,8,305,KittyKat,1,4.0,4.0,13.0,SparkMart,San Francisco,USA
22,9,169,Krafty Cheddar,1,5.0,5.0,5.0,Trader Tales,San Francisco,USA
23,10,752,Flixnet,1,11.0,11.0,19.0,Trader Tales,Chicago,USA
24,10,752,RedCow,1,4.0,4.0,19.0,Trader Tales,Chicago,USA
25,10,752,Popsi,1,4.0,4.0,19.0,Trader Tales,Chicago,USA
26,11,89,Colgatex,1,3.0,3.0,18.0,Trader Tales,New York,USA
27,11,89,Popsi,1,4.0,4.0,18.0,Trader Tales,New York,USA
28,11,89,Flixnet,1,11.0,11.0,18.0,Trader Tales,New York,USA
29,12,202,Colgatex,1,2.0,2.0,32.0,PetPals Mart,San Francisco,USA
30,12,202,Flixnet,3,10.0,30.0,32.0,PetPals Mart,San Francisco,USA
31,13,526,RedCow,1,4.0,4.0,11.0,BestChoice Buy,New York,USA
32,13,526,Colgatex,1,3.0,3.0,11.0,BestChoice Buy,New York,USA
33,13,526,Dovee,2,2.0,4.0,11.0,BestChoice Buy,New York,USA
34,14,370,Krafty Cheddar,1,5.0,5.0,5.0,BestChoice Buy,San Diego,USA
35,15,132,Colgatex,1,3.0,3.0,17.0,BestChoice Buy,New York,USA
36,15,132,Krafty Cheddar,2,5.0,10.0,17.0,BestChoice Buy,New York,USA
