id,person_id,promotion,email,phone,responded
1,144,Coca-Splash,0,1,Yes
2,74,GatorBoost,0,1,Yes
3,109,Oreoz,0,1,Yes
4,934,Popsi,1,1,Yes
5,530,Popsi,1,0,Yes
6,296,Popsi,1,1,Yes
7,915,Flixnet,0,1,No
8,768,Krafty Cheddar,1,1,Yes
9,971,Oreoz,1,0,Yes
10,211,Oreoz,0,1,Yes
11,828,Colgatex,1,1,Yes
12,927,GatorBoost,1,0,Yes
13,829,Popsi,0,1,Yes
14,620,Dovee,0,1,Yes
15,922,GatorBoost,0,1,Yes
16,861,Oreoz,1,0,Yes
17,206,Flixnet,1,0,Yes
18,31,RedCow,1,0,Yes
19,100,Coca-Splash,1,1,No
20,415,GatorBoost,1,0,No
21,225,Coca-Splash,1,1,Yes
22,383,Oreoz,1,0,No
23,336,Coca-Splash,1,1,No
24,627,GatorBoost,1,1,No
25,550,Popsi,0,1,No
26,246,Dovee,1,0,No
27,164,Dovee,0,1,No
28,618,KittyKat,0,1,No
29,77,Popsi,0,1,No
30,576,KittyKat,1,0,No
31,608,Oreoz,1,1,No
32,525,Popsi,1,0,No
33,294,RedCow,1,1,No
34,384,Oreoz,1,1,No
35,357,RedCow,1,1,No
36,207,KittyKat,0,1,No
37,334,Popsi,0,1,No
38,81,Popsi,1,0,Yes
39,218,Colgatex,1,0,No
40,798,Flixnet,1,1,No
41,599,Popsi,1,1,No
42,180,RedCow,1,1,No
43,909,Colgatex,0,1,No
44,544,GatorBoost,0,1,No
45,133,KittyKat,0,1,No
46,853,Flixnet,1,0,No
47,402,Colgatex,1,1,No
48,581,Oreoz,1,0,No
49,872,Oreoz,1,0,No
50,207,Flixnet,1,1,No
51,703,Popsi,1,1,No
52,418,Popsi,1,0,No
53,593,GatorBoost,0,1,No
54,973,KittyKat,1,1,Yes
55,42,Flixnet,0,1,Yes
56,752,GatorBoost,1,1,Yes
57,264,Oreoz,1,1,Yes
58,922,Oreoz,0,1,No
59,973,Popsi,1,0,Yes
60,902,Dovee,1,0,Yes
61,138,Popsi,0,1,Yes
62,748,Krafty Cheddar,1,0,No
63,10,Oreoz,0,1,Yes
64,772,Popsi,1,0,Yes
65,918,GatorBoost,1,0,No
66,248,Popsi,1,0,Yes
67,812,Krafty Cheddar,0,1,Yes
68,202,Oreoz,0,1,Yes
69,883,GatorBoost,1,0,Yes
70,631,Popsi,1,0,Yes
71,237,Coca-Splash,1,0,Yes
72,538,Dovee,1,0,Yes
73,878,Dovee,1,1,Yes
74,429,Dovee,1,1,Yes
75,933,RedCow,1,1,Yes
76,261,RedCow,1,0,Yes
77,291,Popsi,1,0,Yes
78,564,Oreoz,1,1,Yes
79,421,Krafty Cheddar,1,0,No
80,328,Coca-Splash,0,1,Yes
81,78,Flixnet,1,0,No
82,127,GatorBoost,0,1,No
83,656,RedCow,1,1,Yes
84,258,Flixnet,1,0,Yes
85,171,KittyKat,1,1,Yes
86,503,Popsi,1,1,Yes
87,677,Coca-Splash,1,0,No
88,938,Krafty Cheddar,0,1,No
89,958,Dovee,0,1,Yes
90,102,Oreoz,1,0,No
91,436,Krafty Cheddar,0,1,Yes
92,68,Dovee,0,1,Yes
93,555,Dovee,1,0,Yes
94,35,Flixnet,0,1,No
95,50,Flixnet,1,0,No
96,511,Coca-Splash,1,1,No
97,711,Dovee,0,1,No
98,398,GatorBoost,0,1,No
99,359,Krafty Cheddar,1,0,Yes
100,184,RedCow,1,0,No
101,980,GatorBoost,1,1,Yes
102,747,Dovee,1,0,No
103,753,Dovee,1,0,Yes
104,926,RedCow,1,1,Yes
105,42,Flixnet,0,1,Yes
106,443,KittyKat,0,1,No
107,924,Oreoz,1,0,Yes
108,258,GatorBoost,0,1,Yes
109,556,GatorBoost,1,1,No
110,250,KittyKat,0,1,Yes
111,296,Oreoz,0,1,Yes
112,976,Oreoz,1,0,Yes
113,93,Coca-Splash,0,1,Yes
114,197,Colgatex,1,1,Yes
115,489,GatorBoost,1,0,Yes
116,259,KittyKat,1,0,Yes
117,607,Krafty Cheddar,1,0,Yes
118,58,RedCow,1,0,Yes
119,829,Dovee,1,0,Yes
120,274,Popsi,0,1,Yes
121,31,Krafty Cheddar,0,1,No
122,631,Oreoz,1,0,Yes
123,311,Oreoz,1,0,Yes
124,260,Colgatex,1,0,Yes
125,929,RedCow,0,1,Yes
126,89,Oreoz,1,0,Yes
127,936,KittyKat,1,0,Yes
128,270,Coca-Splash,1,1,Yes
129,791,RedCow,1,1,Yes
130,888,Krafty Cheddar,1,0,Yes
131,842,GatorBoost,1,1,No
132,69,GatorBoost,1,1,Yes
133,98,KittyKat,1,1,No
134,526,Coca-Splash,0,1,Yes
135,255,Krafty Cheddar,1,1,Yes
136,878,GatorBoost,0,1,Yes
137,947,Oreoz,0,1,Yes
138,805,KittyKat,1,1,No
139,495,Dovee,0,1,Yes
140,292,Oreoz,0,1,No
141,510,Dovee,0,1,Yes
142,785,Flixnet,1,0,No
143,698,Dovee,1,1,No
144,507,Coca-Splash,1,0,No
145,550,GatorBoost,0,1,No
146,730,GatorBoost,0,1,No
147,300,Coca-Splash,1,1,No
148,524,KittyKat,0,1,No
149,362,Flixnet,1,0,No
150,407,KittyKat,1,0,No
151,290,Colgatex,1,0,No
152,217,GatorBoost,1,0,No
153,336,KittyKat,1,1,No
154,383,Coca-Splash,0,1,No
155,613,Colgatex,1,1,No
156,107,GatorBoost,1,1,No
157,591,Dovee,1,0,No
158,822,Oreoz,1,1,No
159,339,Oreoz,1,0,No
160,905,Colgatex,0,1,No
161,508,Colgatex,1,1,No
162,983,Flixnet,0,1,No
163,723,GatorBoost,0,1,Yes
164,21,Coca-Splash,1,0,No
165,136,Dovee,1,0,No
166,91,Krafty Cheddar,1,1,No
167,164,Colgatex,1,0,No
168,218,Oreoz,0,1,No
169,532,GatorBoost,1,1,No
170,524,Dovee,1,0,No
171,586,RedCow,1,1,No
172,229,KittyKat,1,0,No
173,889,Dovee,1,0,No
174,977,RedCow,0,1,No
175,354,Colgatex,0,1,No
176,114,Oreoz,0,1,No
177,962,RedCow,0,1,No
178,495,KittyKat,1,0,No
179,608,Popsi,1,1,No
180,107,KittyKat,1,1,No
181,665,GatorBoost,1,0,No
182,182,Coca-Splash,1,1,Yes
183,336,Dovee,0,1,Yes
184,559,Popsi,1,0,No
185,715,Dovee,1,1,No
186,207,Colgatex,0,1,No
187,679,Dovee,1,1,No
188,898,Coca-Splash,1,1,No
189,784,RedCow,1,0,No
190,306,Flixnet,0,1,No
191,200,Krafty Cheddar,0,1,No
192,34,GatorBoost,0,1,No
193,14,Popsi,1,0,Yes
194,462,Coca-Splash,1,0,No
195,284,Popsi,0,1,No
196,569,Dovee,0,1,No
197,27,Oreoz,0,1,No
198,170,KittyKat,1,1,No
199,904,GatorBoost,1,1,No
200,684,Krafty Cheddar,0,1,No
