id,sender_id,recipient_id,amount,date
0,926,531,70.47,2022-01-07
1,280,735,21.88,2022-01-10
2,571,737,44.68,2022-01-13
3,958,945,39.94,2022-01-17
4,373,817,6.98,2022-01-17
5,965,571,7.81,2022-01-17
6,678,400,1.35,2022-01-20
7,960,973,35.81,2022-01-20
8,144,177,67.75,2022-01-26
9,435,870,85.26,2022-01-31
10,899,98,78.96,2022-02-08
11,570,84,1.0,2022-02-09
12,699,931,39.03,2022-02-10
13,958,961,26.79,2022-02-11
14,871,706,12.13,2022-02-13
15,308,973,7.76,2022-02-14
16,686,882,14.93,2022-02-16
17,751,915,22.27,2022-02-17
18,919,538,23.74,2022-02-18
19,111,104,7.4,2022-02-20
20,931,187,13.75,2022-02-20
21,938,452,20.19,2022-02-22
22,814,425,28.96,2022-02-22
23,979,830,45.17,2022-02-22
24,322,64,11.62,2022-02-23
25,915,676,7.51,2022-02-25
26,915,958,20.82,2022-02-28
27,430,518,40.34,2022-03-02
28,820,719,89.06,2022-03-04
29,852,916,18.04,2022-03-06
30,570,105,33.74,2022-03-07
31,385,954,4.36,2022-03-11
32,454,588,9.33,2022-03-18
33,516,890,13.79,2022-03-18
34,981,366,12.47,2022-03-19
35,862,947,44.65,2022-03-25
36,956,936,34.9,2022-03-27
37,83,1000,19.55,2022-04-01
38,258,926,3.49,2022-04-02
39,570,931,29.26,2022-04-03
40,924,915,56.23,2022-04-05
41,960,945,9.36,2022-04-10
42,960,802,29.23,2022-04-26
43,979,815,47.61,2022-05-01
44,986,979,56.93,2022-05-05
45,28,907,12.86,2022-05-06
46,94,76,15.65,2022-05-09
47,960,236,4.95,2022-05-11
48,457,421,52.87,2022-05-14
49,882,472,79.59,2022-05-16
50,272,966,79.49,2022-05-19
51,957,279,33.96,2022-05-21
52,431,472,62.4,2022-05-21
53,66,342,45.42,2022-05-22
54,640,1000,8.46,2022-05-25
55,414,273,19.97,2022-05-28
56,781,461,50.19,2022-05-29
57,430,220,17.46,2022-05-31
58,110,258,1.0,2022-06-05
59,833,813,126.24,2022-06-05
60,878,881,9.88,2022-06-07
61,494,568,44.81,2022-06-08
62,289,535,16.33,2022-06-08
63,452,947,31.89,2022-06-09
64,820,648,62.17,2022-06-09
65,11,171,25.66,2022-06-10
66,979,561,44.62,2022-06-13
67,827,254,7.83,2022-06-13
68,259,965,68.0,2022-06-15
69,387,605,10.9,2022-06-15
70,49,212,33.08,2022-06-26
71,671,160,35.34,2022-06-26
72,48,461,18.51,2022-06-29
73,629,272,43.39,2022-07-02
74,916,960,39.94,2022-07-06
75,206,747,2.79,2022-07-09
76,177,480,34.74,2022-07-11
77,930,933,11.02,2022-07-13
78,915,743,19.17,2022-07-15
79,810,206,17.94,2022-07-22
80,786,408,19.72,2022-07-24
81,22,976,19.84,2022-07-27
82,279,852,71.71,2022-07-27
83,966,827,14.89,2022-07-28
84,735,888,3.73,2022-07-29
85,938,844,52.62,2022-07-29
86,936,530,25.9,2022-07-30
87,251,132,11.67,2022-08-01
88,945,945,78.81,2022-08-19
89,856,238,19.07,2022-08-22
90,463,903,52.03,2022-08-23
91,961,515,61.9,2022-08-25
92,490,914,87.3,2022-08-25
93,979,656,6.39,2022-08-25
94,286,640,53.81,2022-08-26
95,387,971,37.75,2022-08-30
96,885,670,18.73,2022-09-01
97,749,438,23.49,2022-09-05
98,28,491,87.13,2022-09-06
99,912,888,31.92,2022-09-09
100,440,615,10.46,2022-09-10
101,535,968,21.17,2022-09-14
102,191,672,28.4,2022-09-14
103,846,908,49.61,2022-09-15
104,75,932,13.06,2022-09-16
105,279,848,3.02,2022-09-18
106,367,102,83.56,2022-09-18
107,533,234,41.18,2022-09-20
108,940,388,69.61,2022-09-25
109,748,247,76.5,2022-10-03
110,562,770,79.95,2022-10-08
111,674,885,12.32,2022-10-10
112,296,683,10.0,2022-10-11
113,663,187,35.98,2022-10-14
114,144,575,29.51,2022-10-17
115,459,489,36.37,2022-10-17
116,916,377,17.61,2022-10-20
117,283,184,42.04,2022-10-20
118,841,765,39.2,2022-10-21
119,255,328,5.42,2022-10-21
120,251,481,12.91,2022-10-24
121,242,836,35.9,2022-10-28
122,713,718,63.51,2022-10-31
123,979,80,81.89,2022-11-06
124,973,540,43.94,2022-11-08
125,755,936,2.78,2022-11-08
126,660,708,30.12,2022-11-09
127,289,756,78.3,2022-11-11
128,47,163,14.22,2022-11-14
129,879,556,63.95,2022-11-17
130,374,515,78.1,2022-11-18
131,986,737,2.44,2022-11-19
132,950,813,52.8,2022-11-19
133,63,621,22.57,2022-11-20
134,964,1000,32.3,2022-11-21
135,854,273,42.99,2022-11-25
136,48,694,77.19,2022-11-26
137,472,600,18.59,2022-11-29
138,678,846,70.92,2022-11-30
139,976,864,33.41,2022-12-01
140,461,934,5.31,2022-12-01
141,861,937,64.74,2022-12-01
142,960,902,16.46,2022-12-05
143,992,102,78.86,2022-12-06
144,267,812,35.92,2022-12-07
145,221,831,1.59,2022-12-09
146,61,487,6.81,2022-12-09
147,110,830,12.7,2022-12-12
148,554,877,33.99,2022-12-13
149,196,850,16.16,2022-12-14
150,984,345,49.27,2022-12-15
151,331,829,13.73,2022-12-17
152,242,266,96.5,2022-12-18
153,314,927,18.87,2022-12-18
154,981,230,1.0,2022-12-22
155,137,238,38.32,2022-12-30
156,51,140,1.0,2023-01-04
157,630,756,94.64,2023-01-04
158,537,37,1.52,2023-01-05
159,722,963,122.3,2023-01-06
160,687,262,57.67,2023-01-07
161,617,607,22.93,2023-01-08
162,421,267,21.65,2023-01-09
163,966,193,25.04,2023-01-10
164,264,620,47.19,2023-01-12
165,147,380,6.24,2023-01-12
166,807,399,68.15,2023-01-13
167,202,846,72.79,2023-01-14
168,902,939,13.01,2023-01-15
169,925,976,37.77,2023-01-18
170,620,108,23.77,2023-01-18
171,878,907,75.24,2023-01-19
172,833,607,47.77,2023-01-19
173,289,990,122.1,2023-01-22
174,455,749,28.53,2023-01-22
175,769,885,15.39,2023-01-25
176,970,660,82.99,2023-01-25
177,984,997,30.56,2023-01-25
178,739,316,40.22,2023-01-26
179,930,902,13.13,2023-01-28
180,881,415,4.19,2023-01-30
181,960,118,53.0,2023-02-03
182,926,965,45.91,2023-02-06
183,986,258,6.97,2023-02-06
184,351,920,23.69,2023-02-06
185,875,939,12.4,2023-02-07
186,237,981,1.07,2023-02-13
187,976,682,32.26,2023-02-14
188,902,914,13.81,2023-02-14
189,870,828,3.6,2023-02-15
190,82,137,15.36,2023-02-17
191,878,655,49.35,2023-02-17
192,582,521,7.4,2023-02-17
193,641,466,12.63,2023-02-20
194,223,856,50.51,2023-02-21
195,147,593,6.14,2023-02-22
196,1000,69,21.2,2023-02-23
197,163,879,4.43,2023-02-27
198,900,314,96.19,2023-02-27
199,154,242,15.28,2023-02-28
200,259,157,44.69,2023-03-01
201,369,204,29.11,2023-03-01
202,722,314,39.85,2023-03-05
203,374,110,3.38,2023-03-07
204,957,940,60.7,2023-03-08
205,64,598,11.55,2023-03-11
206,956,241,33.0,2023-03-14
207,411,405,22.73,2023-03-14
208,112,169,71.55,2023-03-17
209,712,248,10.43,2023-03-17
210,583,555,18.98,2023-03-19
211,441,882,58.55,2023-03-22
212,710,595,8.35,2023-03-22
213,991,380,51.59,2023-03-25
214,397,753,75.66,2023-03-26
215,806,825,5.77,2023-03-27
216,932,676,70.99,2023-03-28
217,127,842,26.11,2023-03-28
218,749,972,8.84,2023-03-30
219,973,877,1.67,2023-04-01
220,566,984,56.83,2023-04-01
221,857,603,46.99,2023-04-04
222,811,375,73.1,2023-04-04
223,189,883,24.84,2023-04-06
224,349,528,27.28,2023-04-06
225,984,509,42.7,2023-04-06
226,939,926,15.67,2023-04-07
227,695,369,10.85,2023-04-08
228,712,123,8.49,2023-04-09
229,249,961,2.97,2023-04-10
230,938,947,61.63,2023-04-16
231,337,561,25.98,2023-04-16
232,185,867,44.37,2023-04-17
233,893,797,40.52,2023-04-18
234,146,615,4.93,2023-04-21
235,413,913,61.17,2023-04-24
236,986,408,43.65,2023-04-30
237,93,242,56.3,2023-04-30
238,874,439,27.29,2023-05-03
239,342,827,45.99,2023-05-04
240,116,61,62.87,2023-05-09
241,270,838,41.36,2023-05-09
242,130,923,5.75,2023-05-11
243,986,66,5.49,2023-05-12
244,718,972,13.25,2023-05-15
245,325,149,56.12,2023-05-15
246,965,162,47.07,2023-05-16
247,40,320,23.94,2023-05-16
248,646,965,27.26,2023-05-17
249,685,340,92.9,2023-05-17
250,172,109,42.44,2023-05-19
251,118,595,42.37,2023-05-22
252,916,706,60.28,2023-05-22
253,965,624,31.37,2023-05-23
254,224,291,7.94,2023-05-27
255,543,369,10.87,2023-05-27
256,662,423,5.7,2023-05-28
257,467,64,27.35,2023-05-29
258,66,796,70.4,2023-05-29
259,979,1000,27.35,2023-05-30
260,758,835,29.08,2023-05-31
261,659,778,36.03,2023-06-01
262,376,888,24.51,2023-06-02
263,363,927,69.89,2023-06-03
264,1,52,25.02,2023-06-05
265,193,879,18.28,2023-06-05
266,401,478,15.72,2023-06-06
267,198,327,50.3,2023-06-07
268,901,677,5.07,2023-06-08
269,72,964,8.65,2023-06-15
270,374,936,24.47,2023-06-15
271,224,564,66.46,2023-06-16
272,706,408,33.74,2023-06-18
